 id |                                                                                                                                                                      prompt_text                                                                                                                                                                       |  status   |  job_type  |                          coalesce                           |                         coalesce                         |         created_at         |         updated_at         
----+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+------------+-------------------------------------------------------------+----------------------------------------------------------+----------------------------+----------------------------
  1 | 一只可爱的小猫                                                                                                                                                                                                                                                                                                                                         | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_045801_image_test_dry_run.txt |                                                          | 2025-07-19 04:57:25.54663  | 2025-07-19 04:58:03.482205
  2 | 一只快乐的小狗                                                                                                                                                                                                                                                                                                                                         | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_050114_image_test_dry_run.txt |                                                          | 2025-07-19 04:57:33.369198 | 2025-07-19 05:01:18.053072
  3 | 一只可爱的小兔子                                                                                                                                                                                                                                                                                                                                       | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_051030_image_test_dry_run.txt |                                                          | 2025-07-19 05:07:04.64886  | 2025-07-19 05:10:31.149735
  4 | 测试新作业                                                                                                                                                                                                                                                                                                                                             | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_141118_image_test.png         |                                                          | 2025-07-19 14:10:53.754518 | 2025-07-19 14:11:19.469931
  5 | 测试真实API调用                                                                                                                                                                                                                                                                                                                                        | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_141518_image_test.png         |                                                          | 2025-07-19 14:15:09.69175  | 2025-07-19 14:15:21.859027
  6 | 测试API配置修复                                                                                                                                                                                                                                                                                                                                        | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_142118_image_test.png         |                                                          | 2025-07-19 14:20:51.381029 | 2025-07-19 14:21:22.432321
  7 | 测试改进的图像生成                                                                                                                                                                                                                                                                                                                                     | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_142726_image_test.png         |                                                          | 2025-07-19 14:27:12.878465 | 2025-07-19 14:27:29.607453
  8 | 测试简单图像生成                                                                                                                                                                                                                                                                                                                                       | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_143243_image_test.png         |                                                          | 2025-07-19 14:32:18.774188 | 2025-07-19 14:32:47.151268
  9 | 测试正确PNG格式                                                                                                                                                                                                                                                                                                                                        | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_144052_image_test.png         |                                                          | 2025-07-19 14:40:39.636704 | 2025-07-19 14:40:53.421781
 10 | 测试真实Vertex AI API调用                                                                                                                                                                                                                                                                                                                              | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_144656_image_test.png         |                                                          | 2025-07-19 14:46:41.271339 | 2025-07-19 14:47:04.506972
 11 | 测试修复后的Vertex AI API                                                                                                                                                                                                                                                                                                                              | completed | IMAGE_TEST | /opt/airflow/outputs/20250719_144841_image_test.png         |                                                          | 2025-07-19 14:48:28.108908 | 2025-07-19 14:49:02.385222
 12 | Cutting through a gleaming 24-karat gold brick with a mirror-silver santoku blade,  captured in an 8-second ultra-silent ASMR sequence.  Hands: slender fingers with pearlescent pink nails guide the slice.  Camera: slow dolly-in 45-degree macro, 60 fps, cinematic 4K.  Lighting: softbox key light plus subtle rim glow on a walnut-wood surface. | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_025847_image_test_dry_run.txt |                                                          | 2025-07-19 17:08:52.462246 | 2025-07-21 02:58:49.001152
 13 | A cute cat sitting in a garden                                                                                                                                                                                                                                                                                                                         | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_030102_image_test_dry_run.txt |                                                          | 2025-07-21 02:57:10.08899  | 2025-07-21 03:01:05.0751
 14 | Beautiful sunset over mountains                                                                                                                                                                                                                                                                                                                        | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_030606_image_test_dry_run.txt |                                                          | 2025-07-21 02:57:10.093903 | 2025-07-21 03:06:07.399364
 15 | Modern city skyline at night                                                                                                                                                                                                                                                                                                                           | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_030617_image_test.png         |                                                          | 2025-07-21 02:57:10.096334 | 2025-07-21 03:06:19.62332
 16 | A magical forest with glowing mushrooms                                                                                                                                                                                                                                                                                                                | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_031246_image_test_dry_run.txt |                                                          | 2025-07-21 03:12:30.249303 | 2025-07-21 03:12:48.969821
 17 | A futuristic city with flying cars                                                                                                                                                                                                                                                                                                                     | completed | IMAGE_TEST | /opt/airflow/outputs/20250721_031505_image_test_dry_run.txt |                                                          | 2025-07-21 03:14:30.791409 | 2025-07-21 03:15:07.639126
